date,home_team,score,away_team
12-12-2021,Crystal Palace,3 - 1,Everton
16-12-2021,Chelsea,? - ?,Everton
14-08-2021,Man United,5 - 1,Leeds
21-08-2021,Leeds,2 - 2,Everton
29-08-2021,Burnley,1 - 1,Leeds
12-09-2021,Leeds,0 - 3,Liverpool
17-09-2021,Newcastle,1 - 1,Leeds
25-09-2021,Leeds,1 - 2,West Ham
02-10-2021,Leeds,1 - 0,Watford
16-10-2021,Southampton,1 - 0,Leeds
23-10-2021,Leeds,1 - 1,Wolves
31-10-2021,Norwich,1 - 2,Leeds
07-11-2021,Leeds,1 - 1,Leicester
21-11-2021,Tottenham,2 - 1,Leeds
27-11-2021,Brighton,0 - 0,Leeds
30-11-2021,Leeds,1 - 0,Crystal Palace
05-12-2021,Leeds,2 - 2,Brentford
11-12-2021,Chelsea,3 - 2,Leeds
14-12-2021,Man City,? - ?,Leeds
14-08-2021,Leicester,1 - 0,Wolves
23-08-2021,West Ham,4 - 1,Leicester
28-08-2021,Norwich,1 - 2,Leicester
11-09-2021,Leicester,0 - 1,Man City
19-09-2021,Brighton,2 - 1,Leicester
25-09-2021,Leicester,2 - 2,Burnley
03-10-2021,Crystal Palace,2 - 2,Leicester
16-10-2021,Leicester,4 - 2,Man United
24-10-2021,Brentford,1 - 2,Leicester
30-10-2021,Leicester,0 - 2,Arsenal
07-11-2021,Leeds,1 - 1,Leicester
20-11-2021,Leicester,0 - 3,Chelsea
28-11-2021,Leicester,4 - 2,Watford
01-12-2021,Southampton,2 - 2,Leicester
05-12-2021,Aston Villa,2 - 1,Leicester
12-12-2021,Leicester,4 - 0,Newcastle
16-12-2021,Leicester,? - ?,Tottenham
14-08-2021,Norwich,0 - 3,Liverpool
21-08-2021,Liverpool,2 - 0,Burnley
28-08-2021,Liverpool,1 - 1,Chelsea
12-09-2021,Leeds,0 - 3,Liverpool
18-09-2021,Liverpool,3 - 0,Crystal Palace
25-09-2021,Brentford,3 - 3,Liverpool
03-10-2021,Liverpool,2 - 2,Man City
16-10-2021,Watford,0 - 5,Liverpool
24-10-2021,Man United,0 - 5,Liverpool
30-10-2021,Liverpool,2 - 2,Brighton
07-11-2021,West Ham,3 - 2,Liverpool
20-11-2021,Liverpool,4 - 0,Arsenal
27-11-2021,Liverpool,4 - 0,Southampton
01-12-2021,Everton,1 - 4,Liverpool
04-12-2021,Wolves,0 - 1,Liverpool
